epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1997.79,1.42384,0.63194,0.00309,0.82199,0.75968,0.79249,0.52914,1.32786,1.18803,0.00395,0.000812,0.000812,0.000812
62,2028.5,1.42915,0.63402,0.00309,0.8204,0.73247,0.79125,0.53709,1.32435,1.20058,0.00394,0.0007922,0.0007922,0.0007922
63,2059.65,1.44377,0.63471,0.00322,0.81304,0.74535,0.79203,0.53946,1.32683,1.19243,0.00397,0.0007724,0.0007724,0.0007724
64,2090.38,1.36572,0.59867,0.00322,0.82793,0.72961,0.78877,0.53181,1.32344,1.14944,0.00401,0.0007526,0.0007526,0.0007526
65,2121.95,1.38531,0.61413,0.00319,0.77975,0.75393,0.77664,0.53356,1.31811,1.17391,0.00393,0.0007328,0.0007328,0.0007328
66,2153.36,1.45949,0.64674,0.00312,0.82218,0.73963,0.7862,0.53167,1.3292,1.17399,0.00398,0.000713,0.000713,0.000713
67,2185.07,1.43746,0.63166,0.0031,0.81149,0.75748,0.79663,0.52826,1.35018,1.19674,0.0041,0.0006932,0.0006932,0.0006932
68,2216.09,1.42053,0.63553,0.00309,0.80693,0.7525,0.79993,0.53811,1.30525,1.00232,0.00387,0.0006734,0.0006734,0.0006734
69,2247.2,1.43539,0.62441,0.00321,0.81282,0.73391,0.79342,0.53938,1.30188,0.99337,0.00387,0.0006536,0.0006536,0.0006536
70,2276.95,1.37669,0.59515,0.00316,0.79983,0.75457,0.79286,0.53371,1.33004,1.06336,0.004,0.0006338,0.0006338,0.0006338
71,2306.5,1.44886,0.62116,0.00309,0.8276,0.75823,0.79668,0.53795,1.34163,1.15722,0.00402,0.000614,0.000614,0.000614
72,2336.65,1.38683,0.61759,0.00307,0.80877,0.76236,0.79786,0.5457,1.32775,1.12731,0.00394,0.0005942,0.0005942,0.0005942
73,2366.38,1.41595,0.60101,0.00307,0.79683,0.76868,0.7959,0.53978,1.32048,1.12165,0.00395,0.0005744,0.0005744,0.0005744
74,2396.3,1.38058,0.59536,0.00305,0.82991,0.74678,0.7984,0.54857,1.31412,1.16767,0.00392,0.0005546,0.0005546,0.0005546
75,2425.72,1.35326,0.57534,0.00301,0.82444,0.74574,0.79847,0.54234,1.3155,1.19723,0.00398,0.0005348,0.0005348,0.0005348
76,2455.4,1.37423,0.60559,0.00297,0.78783,0.76497,0.78753,0.53291,1.33422,1.19418,0.00399,0.000515,0.000515,0.000515
77,2484.64,1.37503,0.59631,0.00307,0.81127,0.74964,0.7882,0.53116,1.36118,1.16858,0.00412,0.0004952,0.0004952,0.0004952
78,2514.86,1.41622,0.62066,0.00305,0.81097,0.7525,0.79505,0.54183,1.31743,1.24626,0.00393,0.0004754,0.0004754,0.0004754
79,2544.26,1.3671,0.60067,0.00308,0.86097,0.74417,0.80058,0.55193,1.31824,1.25567,0.00393,0.0004556,0.0004556,0.0004556
80,2574.19,1.44111,0.62217,0.00308,0.83565,0.75648,0.79943,0.54646,1.34265,1.24679,0.00405,0.0004358,0.0004358,0.0004358
81,2603.18,1.38606,0.58578,0.00302,0.83667,0.76216,0.79931,0.54635,1.34139,1.21866,0.00397,0.000416,0.000416,0.000416
82,2632.77,1.34005,0.57418,0.00296,0.84059,0.74683,0.80016,0.54924,1.31442,1.23874,0.00389,0.0003962,0.0003962,0.0003962
83,2661.47,1.34087,0.56592,0.00297,0.82486,0.77487,0.80087,0.54243,1.32311,1.22484,0.00394,0.0003764,0.0003764,0.0003764
84,2691.93,1.43421,0.59888,0.00298,0.86338,0.74392,0.80298,0.55181,1.31601,1.22455,0.00392,0.0003566,0.0003566,0.0003566
85,2721.33,1.3855,0.60543,0.00297,0.84238,0.74392,0.79935,0.54689,1.32005,1.24609,0.00393,0.0003368,0.0003368,0.0003368
